,year,formation_date,size_median,bm_30,bm_70,total_stocks,nyse_stocks,portfolio_sizes
32,1994,1994-06-01,658249875.0,0.445852046,1.0332887000000002,4430,1373,"{'SL': 1168, 'SM': 1162, 'SH': 1252, 'BL': 171, 'BM': 330, 'BH': 347}"
33,1995,1995-06-01,693449375.0,0.481972368,1.1430196799999999,5193,1435,"{'SL': 1571, 'SM': 1460, 'SH': 1224, 'BL': 200, 'BM': 320, 'BH': 418}"
34,1996,1996-06-01,807558625.0,0.39416244399999995,1.07798605,5386,1480,"{'SL': 1533, 'SM': 1655, 'SH': 1222, 'BL': 208, 'BM': 343, 'BH': 425}"
35,1997,1997-06-01,931554000.0,0.4841688,1.1774094,5491,1531,"{'SL': 1628, 'SM': 1497, 'SH': 1371, 'BL': 172, 'BM': 392, 'BH': 431}"
36,1998,1998-06-01,993029656.25,0.5680811259999999,1.26174898,5617,1518,"{'SL': 1746, 'SM': 1593, 'SH': 1263, 'BL': 189, 'BM': 392, 'BH': 434}"
37,1999,1999-06-01,873650250.0,0.7046085839999999,1.40846186,5270,1497,"{'SL': 1717, 'SM': 1478, 'SH': 1029, 'BL': 161, 'BM': 414, 'BH': 471}"
38,2000,2000-06-01,839501750.0,0.568526766,1.31816067,4940,1360,"{'SL': 1703, 'SM': 1316, 'SH': 843, 'BL': 158, 'BM': 403, 'BH': 517}"
39,2001,2001-06-01,1094552121.5782166,0.494304846,1.28448042,4813,1287,"{'SL': 1429, 'SM': 1289, 'SH': 1148, 'BL': 131, 'BM': 309, 'BH': 507}"
40,2002,2002-06-01,1175322269.2012787,0.5510617159999999,1.4181720799999997,4613,1229,"{'SL': 1630, 'SM': 1376, 'SH': 778, 'BL': 116, 'BM': 322, 'BH': 391}"
41,2003,2003-06-01,1154056024.3225098,0.558450412,1.41640554,4218,1207,"{'SL': 1461, 'SM': 1254, 'SH': 683, 'BL': 122, 'BM': 339, 'BH': 359}"
42,2004,2004-06-01,1594549571.147438,0.48652491499999995,1.275081,4055,1210,"{'SL': 1349, 'SM': 1304, 'SH': 576, 'BL': 144, 'BM': 323, 'BH': 359}"
43,2005,2005-06-01,1847408029.8614502,0.64092726,1.4448633,3951,1211,"{'SL': 1098, 'SM': 1282, 'SH': 784, 'BL': 153, 'BM': 285, 'BH': 349}"
44,2006,2006-06-01,2166943490.8981323,0.743376062,1.501112,3874,1169,"{'SL': 1089, 'SM': 1259, 'SH': 772, 'BL': 141, 'BM': 299, 'BH': 314}"
45,2007,2007-06-01,2540442398.132324,0.732239472,1.5422514,3739,1125,"{'SL': 1111, 'SM': 1189, 'SH': 713, 'BL': 130, 'BM': 278, 'BH': 318}"
46,2008,2008-06-01,1921235391.5405273,0.7774882599999999,1.5447101,3602,1076,"{'SL': 1111, 'SM': 1088, 'SH': 693, 'BL': 136, 'BM': 276, 'BH': 298}"
47,2009,2009-06-01,1306333937.4776914,0.670674036,1.5258096199999998,3479,1024,"{'SL': 1184, 'SM': 976, 'SH': 607, 'BL': 115, 'BM': 255, 'BH': 342}"
48,2010,2010-06-01,1600310154.5906067,0.41527876500000005,1.15300815,3323,1016,"{'SL': 881, 'SM': 1109, 'SH': 619, 'BL': 153, 'BM': 241, 'BH': 320}"
49,2011,2011-06-01,2188061003.505707,0.473502424,1.2632358,3195,1023,"{'SL': 922, 'SM': 959, 'SH': 606, 'BL': 131, 'BM': 249, 'BH': 328}"
50,2012,2012-06-01,1899738240.983963,0.4906873989999999,1.34928681,3134,1034,"{'SL': 883, 'SM': 921, 'SH': 603, 'BL': 140, 'BM': 254, 'BH': 333}"
51,2013,2013-06-01,2324254767.353058,0.44203994,1.26005335,2993,996,"{'SL': 830, 'SM': 871, 'SH': 589, 'BL': 133, 'BM': 238, 'BH': 332}"
52,2014,2014-06-01,2845635185.193284,0.491418241,1.3476507899999999,2926,1014,"{'SL': 891, 'SM': 780, 'SH': 537, 'BL': 150, 'BM': 248, 'BH': 320}"
53,2015,2015-06-01,2596055555.3836823,0.5513172279999999,1.46439172,2896,1008,"{'SL': 819, 'SM': 785, 'SH': 547, 'BL': 141, 'BM': 260, 'BH': 344}"
54,2016,2016-06-01,2142752890.4342651,0.542045334,1.56106522,2842,965,"{'SL': 757, 'SM': 821, 'SH': 533, 'BL': 144, 'BM': 273, 'BH': 314}"
55,2017,2017-06-01,2401641353.034973,0.52073027,1.4784380999999995,2725,917,"{'SL': 745, 'SM': 789, 'SH': 476, 'BL': 157, 'BM': 241, 'BH': 317}"
