observation_date,IRLTCT01USM156N
1989-03-01,9.260000000
1989-04-01,9.070000000
1989-05-01,8.720000000
1989-06-01,8.190000000
1989-07-01,7.990000000
1989-08-01,8.360000000
1989-09-01,8.410000000
1989-10-01,8.050000000
1989-11-01,8.020000000
1989-12-01,8.110000000
1990-01-01,8.620000000
1990-02-01,8.700000000
1990-03-01,8.810000000
1990-04-01,9.170000000
1990-05-01,8.750000000
1990-06-01,8.570000000
1990-07-01,8.530000000
1990-08-01,9.090000000
1990-09-01,9.020000000
1990-10-01,8.850000000
1990-11-01,8.460000000
1990-12-01,8.330000000
1991-01-01,8.270000000
1991-02-01,8.290000000
1991-03-01,8.320000000
1991-04-01,8.260000000
1991-05-01,8.330000000
1991-06-01,8.490000000
1991-07-01,8.400000000
1991-08-01,8.090000000
1991-09-01,7.810000000
1991-10-01,7.830000000
1991-11-01,7.830000000
1991-12-01,7.270000000
1992-01-01,7.700000000
1992-02-01,7.720000000
1992-03-01,7.920000000
1992-04-01,7.980000000
1992-05-01,7.760000000
1992-06-01,7.640000000
1992-07-01,7.250000000
1992-08-01,7.230000000
1992-09-01,7.090000000
1992-10-01,7.400000000
1992-11-01,7.460000000
1992-12-01,7.250000000
1993-01-01,6.990000000
1993-02-01,6.710000000
1993-03-01,6.740000000
1993-04-01,6.710000000
1993-05-01,6.760000000
1993-06-01,6.380000000
1993-07-01,6.310000000
1993-08-01,6.000000000
1993-09-01,6.000000000
1993-10-01,5.980000000
1993-11-01,6.320000000
1993-12-01,6.340000000
1994-01-01,6.140000000
1994-02-01,6.640000000
1994-03-01,7.150000000
1994-04-01,7.370000000
1994-05-01,7.500000000
1994-06-01,7.680000000
1994-07-01,7.400000000
1994-08-01,7.530000000
1994-09-01,7.930000000
1994-10-01,8.050000000
1994-11-01,8.070000000
1994-12-01,7.980000000
1995-01-01,7.780000000
1995-02-01,7.520000000
1995-03-01,7.510000000
1995-04-01,7.390000000
1995-05-01,6.710000000
1995-06-01,6.640000000
1995-07-01,6.860000000
1995-08-01,6.710000000
1995-09-01,6.590000000
1995-10-01,6.380000000
1995-11-01,6.190000000
1995-12-01,5.990000000
1996-01-01,6.030000000
1996-02-01,6.560000000
1996-03-01,6.810000000
1996-04-01,7.030000000
1996-05-01,7.150000000
1996-06-01,7.010000000
1996-07-01,7.060000000
1996-08-01,7.240000000
1996-09-01,7.020000000
1996-10-01,6.710000000
1996-11-01,6.440000000
1996-12-01,6.720000000
1997-01-01,6.850000000
1997-02-01,6.900000000
1997-03-01,7.210000000
1997-04-01,7.030000000
1997-05-01,6.970000000
1997-06-01,6.840000000
1997-07-01,6.340000000
1997-08-01,6.670000000
1997-09-01,6.450000000
1997-10-01,6.190000000
1997-11-01,6.120000000
1997-12-01,6.010000000
1998-01-01,5.870000000
1998-02-01,5.970000000
1998-03-01,6.000000000
1998-04-01,6.010000000
1998-05-01,5.880000000
1998-06-01,5.710000000
1998-07-01,5.790000000
1998-08-01,5.420000000
