permno,duration,end_year,start_year
46711,1,1974,1970
14816,2,1974,1969
47343,2,1974,1970
70077,1,1974,1974
40483,3,1974,1968
51887,1,1974,1973
15712,2,1974,1972
37663,7,1974,1967
50163,1,1974,1973
19027,1,1974,1967
33785,3,1974,1968
37524,3,1974,1968
50593,2,1974,1972
36134,7,1974,1964
45508,4,1974,1969
59280,1,1975,1974
45532,5,1975,1969
50243,1,1975,1972
53268,3,1975,1973
54535,1,1975,1974
34965,1,1975,1975
50016,2,1975,1972
52601,1,1975,1973
62755,1,1975,1975
49867,1,1975,1972
23659,1,1975,1975
30648,2,1975,1969
22322,5,1975,1961
13398,1,1975,1975
42403,1,1975,1973
37268,6,1975,1968
37305,2,1975,1969
55168,1,1975,1974
48144,1,1975,1975
26833,2,1975,1970
40045,4,1975,1968
33574,2,1975,1973
44098,1,1975,1974
66078,1,1975,1974
72945,1,1975,1974
30787,4,1975,1970
41558,1,1975,1969
45592,2,1975,1974
18682,2,1975,1974
54392,1,1975,1974
48581,4,1975,1971
35801,3,1975,1968
42973,1,1975,1974
50921,3,1975,1972
28935,5,1975,1964
46754,4,1975,1971
40862,3,1975,1968
25961,4,1975,1968
23448,4,1975,1965
32352,4,1975,1970
39669,7,1975,1968
10875,1,1975,1975
33363,3,1975,1967
40192,4,1975,1968
39589,3,1975,1968
52003,1,1975,1973
21282,5,1975,1962
51158,1,1975,1972
55423,1,1975,1974
55917,1,1975,1974
16380,1,1975,1974
21434,2,1975,1973
47714,3,1975,1971
53532,2,1975,1973
33400,2,1975,1973
46236,5,1975,1970
48805,1,1975,1971
33275,4,1975,1972
29209,3,1975,1970
56477,1,1975,1974
54420,2,1975,1974
38893,6,1975,1967
53719,1,1975,1974
30358,1,1975,1974
43887,1,1975,1969
44986,2,1975,1969
49816,2,1975,1973
49939,1,1975,1972
41822,6,1975,1968
55247,2,1975,1974
55466,1,1975,1974
51422,3,1975,1972
46121,2,1975,1970
32715,2,1975,1970
18112,1,1975,1975
39140,4,1975,1971
23309,3,1975,1971
27107,1,1975,1974
18374,15,1975,1961
37007,1,1975,1975
53990,1,1975,1974
12715,1,1975,1974
53664,2,1975,1974
81198,1,1975,1975
22585,1,1975,1974
60564,1,1975,1974
44345,2,1975,1969
45014,6,1975,1969
28636,8,1975,1967
22867,5,1975,1961
33451,4,1975,1969
28433,1,1975,1972
25574,7,1975,1964
53161,2,1975,1973
42534,3,1975,1971
51270,2,1975,1972
35377,1,1975,1972
23552,5,1975,1970
43473,5,1975,1969
38440,1,1976,1975
14841,1,1976,1974
73860,1,1976,1974
47247,2,1976,1970
53671,1,1976,1974
62332,1,1976,1974
29023,1,1976,1974
31852,1,1976,1975
49007,3,1976,1971
36680,1,1976,1975
56899,1,1976,1975
71408,1,1976,1974
36409,3,1976,1968
49197,4,1976,1971
32897,1,1976,1976
44572,3,1976,1971
55853,1,1976,1975
44214,5,1976,1971
30840,5,1976,1969
14198,1,1976,1975
38922,2,1976,1971
43166,2,1976,1969
40871,2,1976,1974
41072,6,1976,1967
15588,1,1976,1974
54114,1,1976,1976
45399,4,1976,1970
43588,1,1976,1975
38666,1,1976,1976
29639,3,1976,1969
34067,6,1976,1969
25902,1,1976,1974
30533,3,1976,1968
37970,1,1976,1973
24029,2,1976,1975
42412,1,1976,1974
53815,1,1976,1974
58385,1,1976,1974
42083,7,1976,1968
29321,5,1976,1971
61436,1,1976,1976
34366,1,1976,1973
40715,1,1976,1970
27078,1,1976,1974
58018,1,1976,1975
36477,1,1976,1975
32387,1,1976,1970
25217,1,1976,1975
47968,3,1976,1971
22189,1,1976,1974
22664,1,1976,1972
60230,2,1976,1975
68241,1,1976,1975
33347,2,1976,1974
33873,1,1976,1970
26796,2,1976,1968
53110,1,1976,1973
52513,1,1976,1973
51051,5,1977,1972
81614,2,1977,1975
51107,1,1977,1976
80451,2,1977,1974
52097,3,1977,1972
17823,1,1977,1975
18463,2,1977,1975
37233,2,1977,1970
39837,2,1977,1970
21549,2,1977,1971
57170,1,1977,1975
53567,2,1977,1973
54543,1,1977,1974
65526,2,1977,1975
52644,2,1977,1973
27705,5,1977,1963
11520,1,1977,1976
45022,4,1977,1970
30366,1,1977,1976
49170,3,1977,1971
57357,1,1977,1974
62105,2,1977,1975
22621,12,1977,1962
57306,1,1977,1974
28847,2,1977,1973
61217,1,1977,1976
37640,2,1977,1976
47183,4,1977,1970
74801,3,1977,1974
74764,2,1977,1974
37284,7,1977,1968
66975,2,1977,1975
57867,1,1977,1975
47511,2,1977,1970
46252,1,1977,1970
65884,2,1977,1975
82852,2,1977,1975
50105,1,1977,1975
60353,1,1977,1975
40870,4,1977,1970
38317,2,1977,1975
41582,3,1977,1971
44709,1,1977,1976
45954,3,1977,1970
51182,2,1977,1972
52311,2,1977,1974
34673,9,1977,1968
35722,1,1977,1975
53313,1,1977,1976
53364,2,1977,1973
43529,1,1977,1973
80718,4,1977,1974
12969,1,1977,1975
52185,2,1977,1973
59790,2,1977,1975
17399,1,1977,1976
45428,5,1977,1969
59890,1,1977,1977
46228,2,1977,1973
48266,1,1977,1974
49314,4,1977,1971
31421,6,1977,1964
17340,3,1977,1972
57920,1,1977,1977
44302,3,1977,1969
10640,2,1977,1974
45620,1,1977,1977
63686,1,1977,1976
17232,1,1977,1975
26753,4,1977,1972
78044,3,1977,1975
54762,1,1978,1974
30998,3,1978,1968
56717,2,1978,1976
61453,1,1978,1978
28330,2,1978,1975
72195,1,1978,1976
33267,4,1978,1968
45719,2,1978,1975
50411,1,1978,1972
63539,3,1978,1974
61058,1,1978,1976
80128,2,1978,1976
31078,1,1978,1977
57745,2,1978,1975
54244,5,1978,1974
74297,4,1978,1975
51975,3,1978,1973
45882,5,1978,1970
47298,1,1978,1976
74246,1,1978,1977
47220,3,1978,1971
67468,2,1978,1975
49234,1,1978,1977
79231,1,1978,1976
55298,3,1978,1975
49242,5,1978,1971
44417,5,1978,1969
43748,1,1978,1968
53196,2,1978,1973
41216,5,1978,1968
56768,2,1978,1974
25145,1,1978,1975
59539,2,1978,1977
52222,1,1978,1976
65323,4,1978,1974
71328,1,1978,1975
47255,5,1978,1970
31464,4,1978,1964
67652,1,1978,1975
12626,5,1978,1961
54747,1,1978,1976
12141,2,1978,1974
54826,2,1978,1974
64899,2,1978,1975
53153,1,1978,1977
53938,2,1978,1974
32678,11,1978,1965
57226,1,1978,1975
41064,3,1978,1972
38156,4,1978,1969
50892,5,1978,1972
29137,1,1978,1976
43983,6,1978,1970
19377,8,1978,1962
40440,6,1978,1970
19107,2,1978,1972
31465,1,1978,1976
59468,1,1978,1978
56282,3,1978,1975
53145,3,1978,1973
28169,7,1978,1964
20394,3,1978,1961
80355,3,1978,1975
42657,1,1978,1975
15368,2,1978,1961
57330,1,1978,1975
30760,2,1978,1964
28804,4,1978,1969
71926,4,1978,1975
51781,1,1978,1975
