,year,formation_date,size_median,bm_30,bm_70,total_stocks,nyse_stocks,portfolio_sizes,total_delistings
10,1972,1972-06-01,140847522.9225583,-0.7134217640000001,-0.07557717380000016,1805,1104,"{'SL': 320, 'SM': 456, 'SH': 519, 'BL': 259, 'BM': 266, 'BH': 96}",0
11,1973,1973-06-01,95763250.0,-0.829326839,-0.14148022000000005,1883,1150,"{'SL': 355, 'SM': 507, 'SH': 493, 'BL': 252, 'BM': 276, 'BH': 130}",0
12,1974,1974-06-01,77769999.99999999,-0.78641415,-0.11007099,2596,1201,"{'SL': 582, 'SM': 743, 'SH': 786, 'BL': 332, 'BM': 315, 'BH': 160}",0
13,1975,1975-06-01,96934750.00000001,-0.339475016,0.30878851599999996,3005,1223,"{'SL': 614, 'SM': 878, 'SH': 1048, 'BL': 386, 'BM': 304, 'BH': 117}",0
14,1976,1976-06-01,115820090.52463192,0.09308050630000002,0.698883863,3056,1222,"{'SL': 622, 'SM': 926, 'SH': 1071, 'BL': 361, 'BM': 318, 'BH': 122}",0
15,1977,1977-06-01,138950000.0,-0.217537055,0.39113913399999994,3026,1230,"{'SL': 600, 'SM': 822, 'SH': 1178, 'BL': 317, 'BM': 339, 'BH': 131}",0
16,1978,1978-06-01,153458322.7718049,-0.363043498,0.17186439799999995,2986,1250,"{'SL': 543, 'SM': 743, 'SH': 1266, 'BL': 324, 'BM': 357, 'BH': 120}",0
17,1979,1979-06-01,163065000.0,-0.3180250480000001,0.1884427759999999,2912,1239,"{'SL': 599, 'SM': 753, 'SH': 1115, 'BL': 297, 'BM': 340, 'BH': 170}",0
18,1980,1980-06-01,182886447.7952398,-0.32217889200000005,0.22110738299999985,2841,1194,"{'SL': 690, 'SM': 762, 'SH': 988, 'BL': 298, 'BM': 314, 'BH': 166}",0
19,1981,1981-06-01,236404375.0,-0.400192508,0.2125591459999998,3075,1199,"{'SL': 812, 'SM': 851, 'SH': 1035, 'BL': 329, 'BM': 306, 'BH': 160}",0
20,1982,1982-06-01,189430294.15435565,-0.57310855,0.18882559,3171,1201,"{'SL': 991, 'SM': 866, 'SH': 949, 'BL': 290, 'BM': 301, 'BH': 195}",0
21,1983,1983-06-01,332839249.0768218,-0.432168864,0.21815400799999995,3398,1188,"{'SL': 1225, 'SM': 907, 'SH': 916, 'BL': 310, 'BM': 299, 'BH': 183}",0
22,1984,1984-06-01,297478500.0,-0.5069170740000001,0.10516102199999992,3415,1169,"{'SL': 1188, 'SM': 880, 'SH': 1006, 'BL': 283, 'BM': 308, 'BH': 188}",0
23,1985,1985-06-01,345247750.0,-0.7255978000000001,-0.098744504,3616,1136,"{'SL': 1445, 'SM': 1017, 'SH': 795, 'BL': 272, 'BM': 297, 'BH': 243}",0
24,1986,1986-06-01,435700000.0,-0.5710310620000001,-0.03898620740000017,3619,1089,"{'SL': 1328, 'SM': 1020, 'SH': 894, 'BL': 287, 'BM': 306, 'BH': 216}",0
25,1987,1987-06-01,495396250.0,-0.75287533,-0.19751886,3560,1041,"{'SL': 1266, 'SM': 994, 'SH': 973, 'BL': 290, 'BM': 286, 'BH': 180}",0
26,1988,1988-06-01,467538500.0,-0.876929462,-0.319807218,3626,1015,"{'SL': 1209, 'SM': 1020, 'SH': 1129, 'BL': 258, 'BM': 296, 'BH': 183}",0
27,1989,1989-06-01,521064750.0,-0.8653717040000001,-0.24428822200000025,3696,999,"{'SL': 1102, 'SM': 1060, 'SH': 1308, 'BL': 254, 'BM': 266, 'BH': 202}",0
28,1990,1990-06-01,514065120.9774723,-0.8822070920000001,-0.299006102,3568,978,"{'SL': 967, 'SM': 1020, 'SH': 1396, 'BL': 258, 'BM': 258, 'BH': 203}",0
29,1991,1991-06-01,518923500.0,-0.9954499840000002,-0.36524506400000006,3560,1008,"{'SL': 925, 'SM': 948, 'SH': 1471, 'BL': 280, 'BM': 277, 'BH': 179}",0
30,1992,1992-06-01,533947875.0,-0.82381737,-0.19407633,3513,1051,"{'SL': 889, 'SM': 884, 'SH': 1476, 'BL': 303, 'BM': 279, 'BH': 203}",0
31,1993,1993-06-01,624240875.0,-0.993056176,-0.35370088000000005,3604,1093,"{'SL': 1055, 'SM': 843, 'SH': 1408, 'BL': 319, 'BM': 328, 'BH': 186}",0
32,1994,1994-06-01,634018000.0,-1.10642182,-0.437979002,3869,1155,"{'SL': 1075, 'SM': 1055, 'SH': 1432, 'BL': 341, 'BM': 356, 'BH': 171}",0
33,1995,1995-06-01,653817000.0,-1.20224993,-0.525055712,4156,1202,"{'SL': 1100, 'SM': 1276, 'SH': 1843, 'BL': 397, 'BM': 335, 'BH': 242}",0
34,1996,1996-06-01,749653000.0,-1.1429616300000003,-0.41884944900000004,4319,1238,"{'SL': 1065, 'SM': 1426, 'SH': 1886, 'BL': 403, 'BM': 375, 'BH': 231}",0
35,1997,1997-06-01,852931499.9999999,-1.2420482600000002,-0.507730436,4442,1273,"{'SL': 1229, 'SM': 1347, 'SH': 1864, 'BL': 420, 'BM': 422, 'BH': 209}",0
36,1998,1998-06-01,912562500.0,-1.32347652,-0.5831059740000001,4612,1263,"{'SL': 1135, 'SM': 1518, 'SH': 1887, 'BL': 424, 'BM': 447, 'BH': 206}",0
37,1999,1999-06-01,789521875.0,-1.44480374,-0.7003856160000002,4332,1247,"{'SL': 943, 'SM': 1475, 'SH': 1742, 'BL': 470, 'BM': 462, 'BH': 178}",0
38,2000,2000-06-01,789124000.0,-1.32137895,-0.527796925,3993,1126,"{'SL': 796, 'SM': 1202, 'SH': 1824, 'BL': 529, 'BM': 432, 'BH': 157}",0
